SampleLabel,SampleType,CarbonationState,Condition,ClLevel_wtPct_NaCl,ClLevel_wtPct_Cl_by_cement,Repeat,E_corr_V_vs_SCE,i_corr_uA_per_cm2,beta_a_V_per_dec,beta_c_V_per_dec,ConditionTime_or_RH
7C,Mortar,Carbonated,RH95,0,0,2,-0.272,0.488,0.705,-0.534,RH95
7C,Mortar,Carbonated,RH95,0,0,3,-0.262,0.282,0.449,-0.308,RH95
7C,Mortar,Carbonated,RH95,0.5,0.21,1,-0.391,1.387,0.328,-0.278,RH95
7C,Mortar,Carbonated,RH95,0.5,0.21,2,-0.377,2.723,0.733,-0.406,RH95
7C,Mortar,Carbonated,RH95,0.5,0.21,3,-0.428,1.804,0.868,-0.331,RH95
7C,Mortar,Carbonated,RH95,1,0.43,1,-0.423,2.236,0.824,-0.275,RH95
7C,Mortar,Carbonated,RH95,1,0.43,2,-0.431,5.768,0.908,-0.545,RH95
7C,Mortar,Carbonated,RH95,1,0.43,3,-0.412,5.413,0.906,-0.552,RH95
7C,Mortar,Carbonated,RH95,2,0.87,1,-0.484,10.038,0.964,-0.397,RH95
7C,Mortar,Carbonated,RH95,2,0.87,2,-0.473,6.297,0.951,-0.442,RH95
7C,Mortar,Carbonated,RH95,2,0.87,3,-0.487,7.775,0.947,-0.509,RH95
7C,Mortar,Carbonated,RH95,3,1.31,1,-0.494,7.822,1.028,-0.404,RH95
7C,Mortar,Carbonated,RH95,3,1.31,2,-0.505,7.42,1.157,-0.315,RH95
7C,Mortar,Carbonated,RH95,3,1.31,3,-0.502,10.029,1.074,-0.388,RH95
7C,Mortar,Carbonated,RH95,5,2.24,1,-0.548,9.712,0.506,-0.26,RH95
7C,Mortar,Carbonated,RH95,5,2.24,2,-0.535,13.682,1.046,-0.359,RH95
7C,Mortar,Carbonated,RH95,5,2.24,3,-0.536,9.189,1.088,-0.361,RH95
7C,Mortar,Carbonated,Submerged,0,0,1,-0.568,2.008,0.777,-0.408,Submerged
7C,Mortar,Carbonated,Submerged,0,0,2,-0.57,3.18,0.783,-0.534,Submerged
7C,Mortar,Carbonated,Submerged,0,0,3,-0.569,4.468,0.799,-0.527,Submerged
7C,Mortar,Carbonated,Submerged,0.5,0.21,1,-0.589,19.457,0.731,-0.782,Submerged
7C,Mortar,Carbonated,Submerged,0.5,0.21,2,-0.6,12.412,0.531,-0.822,Submerged
7C,Mortar,Carbonated,Submerged,0.5,0.21,3,-0.588,8.526,0.541,-0.747,Submerged
7C,Mortar,Carbonated,Submerged,1,0.43,1,-0.593,12.164,0.501,-0.863,Submerged
7C,Mortar,Carbonated,Submerged,1,0.43,2,-0.58,15.648,0.577,-0.86,Submerged
7C,Mortar,Carbonated,Submerged,1,0.43,3,-0.591,20.423,0.538,-0.867,Submerged
7C,Mortar,Carbonated,Submerged,2,0.87,1,-0.584,27.441,0.888,-0.921,Submerged
7C,Mortar,Carbonated,Submerged,2,0.87,2,-0.582,15.908,0.678,-0.742,Submerged
7C,Mortar,Carbonated,Submerged,2,0.87,3,-0.592,10.545,0.353,-0.341,Submerged
7C,Mortar,Carbonated,Submerged,3,1.31,1,-0.591,17.248,0.704,-0.834,Submerged
7C,Mortar,Carbonated,Submerged,3,1.31,2,-0.596,14.406,0.826,-0.458,Submerged
7C,Mortar,Carbonated,Submerged,3,1.31,3,-0.592,9.131,0.616,-0.291,Submerged
7C,Mortar,Carbonated,Submerged,5,2.24,1,-0.6,14.131,0.864,-0.454,Submerged
7C,Mortar,Carbonated,Submerged,5,2.24,2,-0.595,7.918,0.475,-0.261,Submerged
